C,Bb,Eb,F,G
F-,Eb-,Ab-,Bb-,C-
F-(add2),Eb-(add2),Ab-(add2),Bb-(add2),C-(add2)
F-6,Eb-6,Ab-6,Bb-6,C-6
F-6(9),Eb-6(9),Ab-6(9),Bb-6(9),C-6(9)
F-Maj7,Eb-Maj7,Ab-Maj7,Bb-Maj7,C-Maj7
Fdim,Ebdim,Abdim,Bbdim,Cdim
Fdim/C,Ebdim/Bb,Abdim/Eb,Bbdim/F,Cdim/G
Fdim7,Ebdim7,Abdim7,Bbdim7,Cdim7
Fdim9,Ebdim9,Abdim9,Bbdim9,Cdim9
FdimMaj7,EbdimMaj7,AbdimMaj7,BbdimMaj7,CdimMaj7
G13sus(b9)(add3),F13sus(b9)(add3),Bb13sus(b9)(add3),C13sus(b9)(add3),D13sus(b9)(add3)
G7sus(b9),F7sus(b9),Bb7sus(b9),C7sus(b9),D7sus(b9)
Gsus4(addb2),Fsus4(addb2),Bbsus4(addb2),Csus4(addb2),Dsus4(addb2)
Bb9(#11)(omit3),Ab9(#11)(omit3),Db9(#11)(omit3),Eb9(#11)(omit3),F9(#11)(omit3)
Bb13(#11)(9)(omit3),Ab13(#11)(9)(omit3),Db13(#11)(9)(omit3),Eb13(#11)(9)(omit3),F13(#11)(9)(omit3)
C(addb6),Bb(addb6),Eb(addb6),F(addb6),G(addb6)
C(b6)(9),Bb(b6)(9),Eb(b6)(9),F(b6)(9),G(b6)(9)
C7(addb6),Bb7(addb6),Eb7(addb6),F7(addb6),G7(addb6)
E7(#9)(#5),D7(#9)(#5),G7(#9)(#5),A7(#9)(#5),B7(#9)(#5)
C7(b13),Bb7(b13),Eb7(b13),F7(b13),G7(b13)
C9(addb6),Bb9(addb6),Eb9(addb6),F9(addb6),G9(addb6)
CMaj7(b13),BbMaj7(b13),EbMaj7(b13),FMaj7(b13),GMaj7(b13)
Ddim/F,Cdim/Eb,Fdim/Ab,Gdim/Bb,Adim/C
E7(#9)(b5),D7(#9)(b5),G7(#9)(b5),A7(#9)(b5),B7(#9)(b5)
E7(b13)(b9),D7(b13)(b9),G7(b13)(b9),A7(b13)(b9),B7(b13)(b9)
E7(b9)(b5),D7(b9)(b5),G7(b9)(b5),A7(b9)(b5),B7(b9)(b5)
F-(add2)/Ab,Eb-(add2)/Gb,Ab-(add2)/Cb,Bb-(add2)/Db,C-(add2)/Eb
F-/Ab,Eb-/Gb,Ab-/Cb,Bb-/Db,C-/Eb
Fdim/Ab,Ebdim/Gb,Abdim/Cb,Bbdim/Db,Cdim/Eb
A-6(9),G-6(9),C-6(9),D-6(9),E-6(9)
C+,Bb+,Eb+,F+,G+
C+(add2),Bb+(add2),Eb+(add2),F+(add2),G+(add2)
Ddim/Ab,Cdim/Gb,Fdim/Cb,Gdim/Db,Adim/Eb
F-(add2)/C,Eb-(add2)/Bb,Ab-(add2)/Eb,Bb-(add2)/F,C-(add2)/G
F-/C,Eb-/Bb,Ab-/Eb,Bb-/F,C-/G
F#-11(9)(b5),E-11(9)(b5),A-11(9)(b5),B-11(9)(b5),C#-11(9)(b5)
F#-11(b5),E-11(b5),A-11(b5),B-11(b5),C#-11(b5)
F#-7(b5),E-7(b5),A-7(b5),B-7(b5),C#-7(b5)
F#-9(b5),E-9(b5),A-9(b5),B-9(b5),C#-9(b5)
